epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9008,1.48215,2.12524,1.7123,1.00873,0.89376,0.77604,0.84471,0.54704,0.86874,0.75432,0.80859,0.39615,1.31023,1.80326,1.02627,1.00165,0.000657895,0.000657895,0.000657895
2,23.5234,1.33267,1.86922,0.88391,0.97722,0.87353,0.79873,0.84783,0.54451,0.86661,0.77607,0.82246,0.4438,1.14263,1.698,0.86227,0.93862,0.00129834,0.00129834,0.00129834
3,34.1372,1.27748,1.78935,0.81646,0.96052,0.89122,0.80348,0.85696,0.55824,0.88613,0.78142,0.83571,0.4447,1.26375,1.72731,0.85102,0.98021,0.00191238,0.00191238,0.00191238
4,44.6037,1.35201,1.84374,0.80222,0.96916,0.85476,0.80247,0.84956,0.54014,0.84467,0.78242,0.82561,0.42861,1.2319,1.72934,0.84821,0.97454,0.0018812,0.0018812,0.0018812
5,55.4896,1.25389,1.78145,0.78163,0.95614,0.8966,0.81144,0.86695,0.57023,0.89332,0.77525,0.83771,0.43936,1.22175,1.65717,0.76755,0.96806,0.0018416,0.0018416,0.0018416
6,66.5775,1.2225,1.73567,0.75191,0.95594,0.87441,0.80682,0.8635,0.58367,0.8659,0.78984,0.84312,0.46083,1.14128,1.64018,0.74373,0.94155,0.001802,0.001802,0.001802
7,78.6225,1.20357,1.68934,0.71878,0.9424,0.90755,0.83338,0.88417,0.59092,0.90974,0.80508,0.87086,0.47354,1.20468,1.61954,0.7162,0.96172,0.0017624,0.0017624,0.0017624
8,88.9985,1.187,1.64748,0.69183,0.936,0.90832,0.82386,0.87976,0.5904,0.88493,0.80247,0.85515,0.47106,1.17216,1.65443,0.69955,0.94953,0.0017228,0.0017228,0.0017228
9,99.4037,1.20104,1.67935,0.69883,0.9362,0.91332,0.82402,0.88487,0.61788,0.90045,0.79178,0.85879,0.47514,1.06205,1.5817,0.68364,0.93036,0.0016832,0.0016832,0.0016832
10,109.661,1.19892,1.66345,0.6976,0.94183,0.90148,0.8359,0.88653,0.61418,0.89045,0.81317,0.86527,0.49234,1.09196,1.55217,0.66334,0.92797,0.0016436,0.0016436,0.0016436
11,120.239,1.19664,1.67748,0.67875,0.93435,0.89989,0.83525,0.88594,0.61465,0.88615,0.81618,0.86662,0.47442,1.09531,1.56479,0.68221,0.94,0.001604,0.001604,0.001604
12,130.669,1.11601,1.56812,0.65179,0.92272,0.90087,0.83723,0.8851,0.59737,0.88186,0.80114,0.8548,0.45173,1.20008,1.71005,0.67991,0.97688,0.0015644,0.0015644,0.0015644
13,140.888,1.15551,1.60363,0.65746,0.93019,0.90345,0.83192,0.88773,0.59963,0.88757,0.79846,0.85571,0.43231,1.17273,1.66948,0.68033,0.95861,0.0015248,0.0015248,0.0015248
14,150.955,1.17068,1.60961,0.66466,0.92524,0.91186,0.82988,0.88788,0.6251,0.9018,0.81646,0.87897,0.5175,1.08063,1.58328,0.66962,0.93162,0.0014852,0.0014852,0.0014852
15,160.835,1.1542,1.61868,0.66918,0.93119,0.89807,0.83041,0.88794,0.60003,0.8816,0.80132,0.86217,0.45645,1.16526,1.57622,0.68478,0.95366,0.0014456,0.0014456,0.0014456
16,170.632,1.14403,1.61289,0.65262,0.92711,0.91381,0.83986,0.8886,0.6239,0.89906,0.81584,0.86965,0.48429,1.04186,1.52067,0.65912,0.92702,0.001406,0.001406,0.001406
17,180.711,1.14862,1.5938,0.64662,0.92178,0.90117,0.83723,0.88296,0.61632,0.88807,0.81484,0.86062,0.46915,1.11175,1.53435,0.66432,0.94241,0.0013664,0.0013664,0.0013664
18,190.77,1.13721,1.57365,0.63912,0.92256,0.89997,0.84626,0.89281,0.62966,0.88361,0.82119,0.86377,0.4692,1.03377,1.51549,0.63265,0.9169,0.0013268,0.0013268,0.0013268
19,200.703,1.14348,1.61388,0.63862,0.93244,0.90615,0.8496,0.89607,0.6327,0.89482,0.81818,0.87552,0.4965,1.04872,1.52925,0.62543,0.92304,0.0012872,0.0012872,0.0012872
20,210.652,1.14666,1.58847,0.65145,0.92486,0.89437,0.8348,0.88728,0.60006,0.85751,0.79246,0.83991,0.43354,1.11785,1.5581,0.67292,0.93694,0.0012476,0.0012476,0.0012476
21,220.522,1.13293,1.55825,0.62422,0.92344,0.90918,0.84225,0.89013,0.62617,0.89306,0.81852,0.86722,0.47321,1.07628,1.51347,0.63634,0.9303,0.001208,0.001208,0.001208
22,230.635,1.13701,1.57433,0.62386,0.92562,0.89621,0.85127,0.89378,0.64092,0.87822,0.83055,0.87446,0.51043,1.00024,1.46192,0.62815,0.91627,0.0011684,0.0011684,0.0011684
23,240.605,1.13254,1.56846,0.64004,0.92597,0.9194,0.84634,0.89938,0.64203,0.90503,0.83189,0.88119,0.50823,1.04257,1.47873,0.63215,0.92474,0.0011288,0.0011288,0.0011288
24,250.671,1.10676,1.5309,0.6095,0.91518,0.91683,0.8379,0.899,0.59975,0.88414,0.80593,0.86198,0.43379,1.21353,1.57914,0.66072,0.95712,0.0010892,0.0010892,0.0010892
25,260.658,1.11751,1.55608,0.61605,0.92246,0.89839,0.8363,0.88958,0.62379,0.87803,0.81321,0.8646,0.47077,1.06323,1.48859,0.63648,0.92348,0.0010496,0.0010496,0.0010496
26,270.695,1.11191,1.53353,0.61558,0.91948,0.90596,0.85127,0.89637,0.63872,0.88109,0.82712,0.87143,0.48202,1.03697,1.4861,0.62637,0.92112,0.00101,0.00101,0.00101
27,280.467,1.13431,1.57556,0.62111,0.92201,0.90331,0.85245,0.89587,0.6349,0.87979,0.82754,0.86936,0.4738,1.04609,1.49293,0.61626,0.92165,0.0009704,0.0009704,0.0009704
28,290.363,1.09234,1.51099,0.6017,0.91392,0.89645,0.83044,0.89201,0.64891,0.88969,0.81116,0.87861,0.50214,0.98985,1.49742,0.61618,0.91331,0.0009308,0.0009308,0.0009308
