epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.196,1.50347,2.11447,1.27469,1.19151,0.87008,0.78977,0.84507,0.49464,0.83479,0.74766,0.78559,0.34432,1.58837,2.37197,1.26999,1.2955,0.000657895,0.000657895,0.000657895
2,183.794,1.32854,1.85182,0.79898,1.10321,0.60492,0.61197,0.56204,0.28488,0.59521,0.59091,0.52671,0.21662,1.54104,4.99284,1.89244,1.2992,0.00129834,0.00129834,0.00129834
3,283.893,1.34342,1.8767,0.81813,1.08734,0.6179,0.61564,0.64452,0.42237,0.61922,0.57353,0.60736,0.28912,1.73306,2.28844,1.67663,1.49706,0.00191238,0.00191238,0.00191238
4,395.017,1.35539,1.85674,0.78924,1.09794,0.87667,0.82086,0.8761,0.5995,0.87111,0.77908,0.83447,0.49017,1.20589,1.79884,0.76844,1.08703,0.0018812,0.0018812,0.0018812
5,503.273,1.32614,1.83299,0.75334,1.0821,0.89135,0.81985,0.8815,0.60114,0.8606,0.78822,0.84135,0.47274,1.2688,1.8431,0.74391,1.12392,0.0018416,0.0018416,0.0018416
6,711.766,1.32853,1.83069,0.746,1.09234,0.89514,0.73463,0.83332,0.54817,0.86959,0.69017,0.78727,0.3918,1.38306,2.02205,0.91292,1.19334,0.001802,0.001802,0.001802
7,805.537,1.28698,1.76909,0.73454,1.07667,0.90645,0.81885,0.87969,0.58428,0.88551,0.77139,0.83052,0.42468,1.3243,1.82858,0.82019,1.14287,0.0017624,0.0017624,0.0017624
8,906.913,1.25909,1.71258,0.7053,1.05331,0.89339,0.80281,0.87739,0.61806,0.87252,0.77206,0.83924,0.46952,1.17312,1.76356,0.77435,1.0832,0.0017228,0.0017228,0.0017228
9,981.794,1.22844,1.68064,0.69469,1.06054,0.90213,0.8135,0.88188,0.62172,0.88521,0.78609,0.84522,0.46433,1.15552,1.76228,0.73363,1.07347,0.0016832,0.0016832,0.0016832
10,1070.11,1.2253,1.65632,0.67762,1.04549,0.90422,0.83389,0.89689,0.63361,0.88246,0.79546,0.85016,0.46518,1.13427,1.63561,0.70228,1.05399,0.0016436,0.0016436,0.0016436
11,1260.23,1.19962,1.60979,0.65452,1.03175,0.91952,0.83155,0.89497,0.60295,0.90119,0.78339,0.84489,0.43575,1.27879,1.76434,0.68523,1.13141,0.001604,0.001604,0.001604
12,1423.08,1.23364,1.66517,0.69181,1.04578,0.90864,0.83255,0.8956,0.6228,0.9069,0.78743,0.85778,0.46798,1.23049,1.75946,0.72653,1.09401,0.0015644,0.0015644,0.0015644
13,1503.08,1.21802,1.63983,0.65856,1.03822,0.89953,0.8516,0.8985,0.64182,0.89189,0.81893,0.86962,0.50699,1.14029,1.63395,0.68992,1.06145,0.0015248,0.0015248,0.0015248
14,1597.38,1.2359,1.63497,0.66906,1.04171,0.92097,0.83346,0.89667,0.63847,0.89946,0.80133,0.85702,0.49145,1.13829,1.66886,0.69636,1.07491,0.0014852,0.0014852,0.0014852
15,1655.97,1.19265,1.62212,0.64986,1.03091,0.90567,0.83436,0.89773,0.6457,0.87611,0.80381,0.86019,0.48856,1.13103,1.68324,0.68476,1.05873,0.0014456,0.0014456,0.0014456
16,1745.01,1.1811,1.58343,0.63136,1.01925,0.9093,0.8232,0.894,0.63332,0.88942,0.78765,0.84796,0.47149,1.15673,1.66415,0.68456,1.06691,0.001406,0.001406,0.001406
17,1893.72,1.17434,1.58062,0.62294,1.01468,0.89387,0.82654,0.8881,0.62998,0.88055,0.76671,0.83912,0.44162,1.17155,1.65819,0.70357,1.07882,0.0013664,0.0013664,0.0013664
18,2007.29,1.19421,1.59785,0.61443,1.03133,0.90746,0.84559,0.90097,0.63878,0.87939,0.80421,0.8527,0.4586,1.16913,1.6867,0.67629,1.08855,0.0013268,0.0013268,0.0013268
19,2104.47,1.16489,1.57305,0.61319,1.01798,0.92109,0.85044,0.90826,0.64769,0.89419,0.8125,0.86003,0.47168,1.15319,1.62288,0.63855,1.08097,0.0012872,0.0012872,0.0012872
20,2231.49,1.19113,1.58522,0.62569,1.02819,0.9199,0.84693,0.90489,0.63278,0.89479,0.80916,0.85674,0.45514,1.17736,1.66112,0.65109,1.0683,0.0012476,0.0012476,0.0012476
21,2292.79,1.15413,1.55095,0.59532,1.00888,0.91251,0.85058,0.90553,0.64962,0.89245,0.81811,0.86683,0.48412,1.11355,1.62152,0.64588,1.04687,0.001208,0.001208,0.001208
22,2393.75,1.16328,1.56836,0.59635,1.02022,0.91985,0.85428,0.90752,0.65096,0.89798,0.81784,0.86965,0.47884,1.11301,1.61097,0.63175,1.04909,0.0011684,0.0011684,0.0011684
23,2466.64,1.12821,1.53269,0.58992,1.0022,0.91746,0.83824,0.90595,0.64057,0.88474,0.80147,0.8573,0.45331,1.18495,1.66279,0.66903,1.06369,0.0011288,0.0011288,0.0011288
24,2569.88,1.09101,1.45814,0.5667,0.99319,0.90891,0.84325,0.90166,0.64431,0.88229,0.80749,0.85184,0.45965,1.12713,1.62183,0.65804,1.05542,0.0010892,0.0010892,0.0010892
25,2707.2,1.1345,1.53131,0.58869,1.0082,0.91416,0.84003,0.90425,0.64408,0.89839,0.81116,0.86565,0.47486,1.17279,1.63571,0.68739,1.08091,0.0010496,0.0010496,0.0010496
26,2790.01,1.133,1.50973,0.59231,1.00912,0.91864,0.84535,0.90893,0.657,0.90453,0.8135,0.86597,0.48245,1.09247,1.58783,0.64233,1.05233,0.00101,0.00101,0.00101
27,2872.37,1.11879,1.52095,0.58449,1.00209,0.92085,0.8379,0.90757,0.64439,0.88757,0.79946,0.85577,0.45809,1.11836,1.60961,0.64437,1.04192,0.0009704,0.0009704,0.0009704
28,2959.1,1.10453,1.49206,0.56677,0.98815,0.92788,0.84726,0.91057,0.66111,0.90862,0.81985,0.87272,0.49258,1.0862,1.57911,0.62769,1.02957,0.0009308,0.0009308,0.0009308
29,3037.06,1.12045,1.50106,0.57242,0.99122,0.91183,0.85027,0.91179,0.65354,0.88255,0.82219,0.86957,0.48757,1.12066,1.56582,0.62874,1.04716,0.0008912,0.0008912,0.0008912
30,3115.21,1.1279,1.50881,0.57306,0.99745,0.91912,0.84358,0.90712,0.64056,0.89328,0.81128,0.86122,0.4699,1.17,1.62375,0.64915,1.05413,0.0008516,0.0008516,0.0008516
31,3260.88,1.10415,1.47774,0.5764,0.99299,0.93674,0.84631,0.91795,0.67078,0.91061,0.8171,0.87343,0.5048,1.05643,1.52541,0.62211,1.01901,0.000812,0.000812,0.000812
32,3404.31,1.11993,1.49298,0.5712,1.00369,0.92659,0.84191,0.91071,0.65486,0.89694,0.80381,0.86183,0.47723,1.11658,1.57839,0.64789,1.05309,0.0007724,0.0007724,0.0007724
33,3468.4,1.09668,1.47202,0.55559,0.99056,0.91547,0.85429,0.90783,0.63337,0.8812,0.81066,0.8561,0.45417,1.22365,1.60534,0.64895,1.07841,0.0007328,0.0007328,0.0007328
34,3561.21,1.10655,1.46406,0.5462,0.99183,0.92342,0.85729,0.9109,0.66585,0.90084,0.82386,0.87032,0.49235,1.07431,1.55023,0.59957,1.03686,0.0006932,0.0006932,0.0006932
35,3656.71,1.07759,1.43615,0.54837,0.98768,0.91743,0.86154,0.91669,0.65433,0.89206,0.81204,0.8643,0.47148,1.1515,1.60315,0.62123,1.04085,0.0006536,0.0006536,0.0006536
36,3752.04,1.08904,1.4587,0.54574,0.98406,0.93155,0.85862,0.91289,0.66147,0.897,0.8237,0.86654,0.48667,1.07749,1.52108,0.60973,1.03037,0.000614,0.000614,0.000614
37,3925.9,1.08662,1.43666,0.54346,0.9931,0.92362,0.86084,0.91341,0.66317,0.90211,0.82654,0.8723,0.49168,1.07754,1.53231,0.61032,1.03712,0.0005744,0.0005744,0.0005744
38,4136.09,1.0883,1.43941,0.53591,0.98873,0.92858,0.85172,0.9119,0.66309,0.9058,0.81852,0.87145,0.4913,1.07701,1.52662,0.61833,1.03259,0.0005348,0.0005348,0.0005348
39,4217.35,1.06034,1.41572,0.54143,0.97501,0.91934,0.8647,0.91884,0.66606,0.89588,0.82754,0.87319,0.4866,1.09,1.53252,0.61812,1.02891,0.0004952,0.0004952,0.0004952
40,4430.85,1.07312,1.42081,0.52699,0.98415,0.92314,0.85099,0.9122,0.66775,0.89298,0.81713,0.86947,0.49812,1.06489,1.53293,0.61149,1.02755,0.0004556,0.0004556,0.0004556
41,4525.66,1.07978,1.46044,0.53542,1.00698,0.92182,0.84726,0.9085,0.65653,0.89283,0.81302,0.86501,0.48054,1.09473,1.58227,0.63044,1.03819,0.000416,0.000416,0.000416
42,4572.97,1.07573,1.44699,0.53443,1.01128,0.9217,0.86558,0.919,0.6707,0.89414,0.83088,0.87545,0.50149,1.06834,1.53682,0.59572,1.03509,0.0003764,0.0003764,0.0003764
43,4635.45,1.072,1.43318,0.53239,0.99715,0.92144,0.85463,0.91426,0.65332,0.89266,0.81718,0.86556,0.46943,1.13265,1.5677,0.62017,1.05143,0.0003368,0.0003368,0.0003368
44,4993.3,1.05419,1.41666,0.50956,0.99162,0.92457,0.86034,0.91379,0.66985,0.89963,0.82383,0.86951,0.49972,1.05566,1.52604,0.60622,1.03025,0.0002972,0.0002972,0.0002972
45,5076.01,1.07947,1.43884,0.53224,0.99449,0.92392,0.86453,0.9129,0.64836,0.88669,0.81866,0.85959,0.46286,1.10869,1.56277,0.61325,1.03794,0.0002576,0.0002576,0.0002576
46,5146.57,1.04216,1.38666,0.5072,0.98189,0.92765,0.85829,0.91431,0.66163,0.89831,0.82186,0.86553,0.47456,1.11309,1.55348,0.60885,1.04573,0.000218,0.000218,0.000218
47,5205.99,1.0298,1.39426,0.50328,0.98427,0.93117,0.85461,0.91406,0.65514,0.89809,0.81049,0.86225,0.46276,1.10216,1.54818,0.61894,1.03642,0.0001784,0.0001784,0.0001784
48,5247.32,1.04336,1.40154,0.50332,0.98659,0.93105,0.85996,0.91706,0.66836,0.89939,0.82152,0.86889,0.48596,1.06416,1.52421,0.60648,1.0308,0.0001388,0.0001388,0.0001388
49,5288.05,1.03448,1.38592,0.49237,0.98985,0.92685,0.85996,0.91318,0.6531,0.89149,0.81824,0.86241,0.4742,1.12381,1.5576,0.61685,1.04968,9.92e-05,9.92e-05,9.92e-05
50,5353.34,1.0357,1.38653,0.49727,0.98754,0.92783,0.86364,0.91789,0.6628,0.89146,0.81802,0.86237,0.47794,1.07915,1.52846,0.60737,1.02771,5.96e-05,5.96e-05,5.96e-05
